iter	Passed	Remaining
0	81	40769
1	86	21641
2	91	15133
3	96	11924
4	100	9964
5	105	8657
6	110	7753
7	115	7072
8	119	6546
9	124	6100
10	129	5744
11	134	5454
12	138	5199
13	143	4995
14	148	4800
15	153	4647
16	158	4499
17	163	4385
18	168	4276
19	173	4160
20	178	4075
21	184	4002
22	189	3924
23	194	3856
24	199	3792
25	204	3725
26	209	3665
27	214	3619
28	219	3563
29	224	3510
30	228	3459
31	233	3413
32	238	3372
33	243	3334
34	248	3303
35	253	3263
36	257	3224
37	261	3183
38	266	3148
39	270	3111
40	275	3083
41	280	3060
42	285	3029
43	289	3004
44	294	2980
45	300	2963
46	305	2941
47	309	2918
48	314	2898
49	319	2877
50	324	2857
51	329	2839
52	334	2820
53	339	2802
54	345	2793
55	350	2780
56	356	2771
57	362	2759
58	366	2742
59	372	2730
60	377	2717
61	382	2701
62	387	2686
63	391	2669
64	396	2654
65	401	2640
66	406	2626
67	411	2612
68	415	2596
69	420	2584
70	426	2577
71	431	2566
72	437	2559
73	443	2551
74	448	2541
75	454	2534
76	459	2526
77	465	2516
78	474	2528
79	481	2525
80	494	2560
81	516	2632
82	533	2682
83	548	2714
84	565	2759
85	582	2803
86	593	2817
87	603	2827
88	619	2860
89	626	2853
90	632	2842
91	642	2849
92	661	2895
93	674	2913
94	688	2934
95	702	2958
96	714	2970
97	728	2988
98	744	3014
99	761	3045
100	775	3064
101	786	3067
102	800	3083
103	813	3099
104	826	3109
105	837	3113
106	855	3140
107	866	3145
108	878	3152
109	890	3157
110	900	3155
111	909	3152
112	920	3153
113	931	3153
114	940	3147
115	945	3128
116	949	3109
117	955	3092
118	960	3075
119	966	3059
120	971	3043
121	977	3027
122	982	3012
123	989	2998
124	995	2985
125	1000	2969
126	1005	2954
127	1011	2938
128	1017	2925
129	1022	2910
130	1027	2895
131	1032	2879
132	1038	2865
133	1043	2851
134	1048	2834
135	1053	2820
136	1058	2805
137	1064	2791
138	1069	2776
139	1074	2762
140	1079	2748
141	1084	2735
142	1090	2721
143	1095	2707
144	1100	2693
145	1104	2678
146	1110	2666
147	1115	2653
148	1120	2639
149	1125	2626
150	1130	2613
151	1135	2600
152	1141	2588
153	1146	2576
154	1151	2563
155	1156	2550
156	1162	2539
157	1168	2529
158	1174	2518
159	1180	2508
160	1185	2496
161	1191	2485
162	1197	2475
163	1202	2463
164	1208	2453
165	1215	2446
166	1221	2435
167	1228	2428
168	1234	2417
169	1240	2408
170	1247	2400
171	1254	2391
172	1261	2385
173	1266	2373
174	1272	2363
175	1279	2356
176	1286	2347
177	1291	2336
178	1296	2325
179	1302	2315
180	1307	2303
181	1312	2293
182	1317	2282
183	1323	2272
184	1328	2262
185	1334	2253
186	1339	2242
187	1345	2232
188	1351	2223
189	1356	2212
190	1361	2202
191	1366	2192
192	1371	2182
193	1377	2172
194	1383	2163
195	1388	2153
196	1393	2143
197	1399	2134
198	1404	2123
199	1409	2114
200	1415	2105
201	1420	2094
202	1425	2085
203	1430	2076
204	1436	2066
205	1441	2057
206	1447	2048
207	1452	2039
208	1458	2030
209	1465	2023
210	1472	2016
211	1477	2007
212	1483	1998
213	1488	1989
214	1493	1979
215	1498	1970
216	1503	1961
217	1508	1951
218	1514	1942
219	1519	1933
220	1524	1925
221	1530	1916
222	1535	1907
223	1541	1899
224	1556	1902
225	1566	1898
226	1578	1898
227	1589	1896
228	1601	1895
229	1612	1892
230	1620	1886
231	1627	1879
232	1632	1871
233	1638	1862
234	1645	1855
235	1654	1850
236	1666	1849
237	1672	1840
238	1678	1833
239	1684	1825
240	1689	1815
241	1694	1806
242	1700	1798
243	1705	1788
244	1711	1780
245	1716	1772
246	1722	1763
247	1727	1755
248	1733	1747
249	1738	1738
250	1743	1729
251	1748	1720
252	1753	1711
253	1758	1703
254	1763	1693
255	1767	1684
256	1772	1676
257	1777	1667
258	1782	1658
259	1787	1649
260	1791	1640
261	1796	1632
262	1801	1623
263	1807	1615
264	1812	1607
265	1819	1600
266	1824	1592
267	1831	1585
268	1836	1577
269	1841	1569
270	1848	1561
271	1853	1553
272	1858	1545
273	1865	1538
274	1871	1530
275	1875	1522
276	1881	1514
277	1886	1506
278	1891	1498
279	1896	1490
280	1900	1481
281	1906	1473
282	1911	1465
283	1916	1457
284	1921	1449
285	1927	1442
286	1932	1433
287	1937	1425
288	1941	1417
289	1946	1409
290	1952	1402
291	1957	1394
292	1962	1386
293	1966	1378
294	1971	1370
295	1977	1362
296	1981	1354
297	1986	1346
298	1991	1338
299	1995	1330
300	2001	1322
301	2005	1314
302	2010	1307
303	2015	1299
304	2020	1291
305	2025	1283
306	2029	1275
307	2034	1268
308	2039	1260
309	2043	1252
310	2048	1244
311	2052	1237
312	2058	1229
313	2062	1221
314	2067	1214
315	2072	1206
316	2076	1198
317	2081	1191
318	2085	1183
319	2091	1176
320	2096	1169
321	2100	1161
322	2105	1154
323	2110	1146
324	2115	1138
325	2119	1131
326	2124	1123
327	2129	1116
328	2133	1108
329	2138	1101
330	2142	1094
331	2147	1086
332	2152	1079
333	2157	1072
334	2162	1064
335	2166	1057
336	2171	1050
337	2175	1042
338	2180	1035
339	2185	1028
340	2189	1021
341	2195	1014
342	2200	1007
343	2204	999
344	2209	992
345	2214	985
346	2219	978
347	2223	971
348	2229	964
349	2233	957
350	2238	950
351	2243	943
352	2247	936
353	2252	929
354	2256	921
355	2273	919
356	2278	912
357	2283	905
358	2287	898
359	2292	891
360	2296	884
361	2301	877
362	2305	870
363	2310	863
364	2315	856
365	2320	849
366	2325	842
367	2329	835
368	2335	828
369	2339	822
370	2344	815
371	2349	808
372	2353	801
373	2358	794
374	2362	787
375	2368	780
376	2373	774
377	2377	767
378	2382	760
379	2386	753
380	2391	746
381	2396	740
382	2400	733
383	2405	726
384	2411	720
385	2416	713
386	2422	707
387	2427	700
388	2432	694
389	2438	687
390	2444	681
391	2448	674
392	2454	668
393	2459	661
394	2464	655
395	2468	648
396	2473	641
397	2478	635
398	2483	628
399	2488	622
400	2493	615
401	2498	609
402	2503	602
403	2509	596
404	2514	589
405	2520	583
406	2527	577
407	2533	571
408	2539	564
409	2544	558
410	2548	551
411	2553	545
412	2557	538
413	2561	532
414	2566	525
415	2570	519
416	2576	512
417	2580	506
418	2585	499
419	2589	493
420	2594	486
421	2598	480
422	2603	473
423	2608	467
424	2611	460
425	2616	454
426	2620	447
427	2625	441
428	2628	435
429	2633	428
430	2638	422
431	2643	416
432	2648	409
433	2652	403
434	2656	396
435	2660	390
436	2665	384
437	2669	377
438	2673	371
439	2677	365
440	2681	358
441	2685	352
442	2690	346
443	2694	339
444	2698	333
445	2703	327
446	2707	321
447	2712	314
448	2716	308
449	2721	302
450	2725	296
451	2730	289
452	2734	283
453	2738	277
454	2743	271
455	2747	265
456	2752	258
457	2756	252
458	2761	246
459	2765	240
460	2770	234
461	2775	228
